Complaint,Category
No water supply in our area,Water
Water leakage near my house,Water
The water pipeline is broken,Water
No drinking water since morning,Water
Low water pressure in our street,Water
Water tank is overflowing,Water
Water is muddy and dirty,Water
The water valve is damaged,Water
Water meter is faulty,Water
Burst water pipe on the main road,Water
Water supply stopped suddenly,Water
Rusty water coming from taps,Water
Water connection is leaking,Water
No water in the apartment building,Water
Water quality is poor,Water
Broken public water tap,Water
Water overflowing from pipeline,Water
Garbage has not been collected,Garbage
Garbage is lying on the road,Garbage
The dustbin is overflowing,Garbage
Trash is scattered everywhere,Garbage
Waste collection has been delayed,Garbage
Garbage smell is unbearable,Garbage
There is litter near the park,Garbage
The garbage truck did not arrive,Garbage
Overflowing dumpster,Garbage
Garbage outside school,Garbage
Waste dumped in empty plot,Garbage
Dead animal not removed,Garbage
Plastic waste blocking street,Garbage
Bins are full,Garbage
Garbage attracting stray animals,Garbage
Uncollected household waste,Garbage
Trash burning causing smoke,Garbage
Street lights are not working,Street Light
Street light pole is damaged,Street Light
The road is dark at night,Street Light
Street lamp is broken,Street Light
Light is flickering continuously,Street Light
Street lights have been off for days,Street Light
The electric pole light is not working,Street Light
The LED street light is damaged,Street Light
Street light wire is exposed,Street Light
Entire street has no lights,Street Light
Pole leaning dangerously,Street Light
Light cover is broken,Street Light
Street light turns off frequently,Street Light
Street light switch box damaged,Street Light
Park lights not working,Street Light
Highway lights are off,Street Light
Street light blinking all night,Street Light
Road has many potholes,Road
The road surface is damaged,Road
There are deep cracks in the road,Road
The street needs repair,Road
Broken road is causing traffic,Road
Road is uneven and dangerous,Road
There is a huge pothole,Road
The road has collapsed,Road
Speed breaker is damaged,Road
Loose gravel on road,Road
Road markings have faded,Road
Bridge approach road damaged,Road
Road shoulder has eroded,Road
Waterlogged road,Road
Footpath is broken,Road
Road excavation left open,Road
Road sinking near junction,Road
Sewer line is blocked,Sewer
Drain is overflowing,Sewer
Dirty water is coming from the drain,Sewer
Sewer water is on the road,Sewer
Drainage system is blocked,Sewer
The sewer pipe has burst,Sewer
Bad smell from the sewer,Sewer
Drain water is flooding the street,Sewer
Manhole cover is broken,Sewer
Drain clogged with waste,Sewer
Sewage backing up,Sewer
Overflowing manhole,Sewer
Open sewer is dangerous,Sewer
Drain needs cleaning,Sewer
Sewer leak near school,Sewer
Standing sewage water,Sewer
Drain blocked after rain,Sewer
Electric wire is hanging dangerously,Electricity
Power outage in our neighborhood,Electricity
Transformer has exploded,Electricity
Electric pole is damaged,Electricity
Voltage is very low,Electricity
Frequent electricity breakdown,Electricity
Loose electrical wires are dangerous,Electricity
Power supply has been interrupted,Electricity
Sparking from electric pole,Electricity
Transformer making loud noise,Electricity
Broken electricity meter,Electricity
Power fluctuation all day,Electricity
Fallen electric cable,Electricity
Short circuit in street,Electricity
Street transformer leaking oil,Electricity
